cardnumber,surname,firstname,title,othernames,initials,streetnumber,streettype,address,address2,city,state,zipcode,country,email,phone,mobile,fax,emailpro,phonepro,B_streetnumber,B_streettype,B_address,B_address2,B_city,B_state,B_zipcode,B_country,B_email,B_phone,dateofbirth,branchcode,categorycode,dateenrolled,dateexpiry,date_renewed,gonenoaddress,lost,debarred,debarredcomment,contactname,contactfirstname,contacttitle,guarantorid,borrowernotes,relationship,sex,password,flags,userid,opacnote,contactnote,sort1,sort2,altcontactfirstname,altcontactsurname,altcontactaddress1,altcontactaddress2,altcontactaddress3,altcontactstate,altcontactzipcode,altcontactcountry,altcontactphone,smsalertnumber,sms_provider_id,privacy,privacy_guarantor_checkouts,checkprevcheckout,updated_on,lastseen,lang,login_attempts,overdrive_auth_token,patron_attributes
70089992,Lawlor,Emery,Dr,,,9976,Circle,Summerview,,Charlotte,North Carolina,412-74-0849,Argentina,klawlora@hubpages.com,7047129339,6019947544,,clawlora@dailymail.co.uk,,,,,,,,,,,,1999-05-25,ARBCCAB,ST,2015-08-28,2047-10-13,,,,,,,,,,,,Male,narBIt,,,,,,,,,,,,,,,,,,,,,,,,,,
87612044,Dursley,Clywd,Mrs,,,7315,Park,Northfield,,Pittsburgh,Pennsylvania,115-66-4567,Argentina,fdursleyb@yale.edu,4125183046,3172035741,,fdursleyb@sourceforge.net,,,,,,,,,,,,1977-02-18,ARBCCAB,ST,2015-08-28,2033-02-08,,,,,,,,,,,,Male,GAbuktMVitc,,,,,,,,,,,,,,,,,,,,,,,,,,
12456463,Pikhno,Moshe,Ms,,,8269,Place,Lakewood,,Buffalo,New York,625-26-9934,Argentina,cpikhnoc@amazon.co.uk,7166099624,7145298136,,hpikhnoc@jugem.jp,,,,,,,,,,,,1990-04-25,ARBCCAB,ST,2015-08-28,2043-03-05,,,,,,,,,,,,Male,82y9kkZU00vM,,,,,,,,,,,,,,,,,,,,,,,,,,
82170377,Letixier,Kayle,Rev,,,86,Road,Macpherson,,Las Vegas,Nevada,567-40-1189,Argentina,dletixierd@who.int,7028778992,7133339380,,bletixierd@flickr.com,,,,,,,,,,,,1983-03-17,ARBCCAB,ST,2015-08-28,2032-06-13,,,,,,,,,,,,Female,Jd3W95,,,,,,,,,,,,,,,,,,,,,,,,,,
33314201,Ragbourne,Alphard,Mrs,,,94470,Place,Park Meadow,,Oxnard,California,646-89-0957,Argentina,bragbournee@w3.org,8057704051,8477825672,,iragbournee@prnewswire.com,,,,,,,,,,,,1994-04-07,CEN,ST,2015-08-28,2045-11-27,,,,,,,,,,,,Male,HsIxGJDhp,,,,,,,,,,,,,,,,,,,,,,,,,,
41375554,Berzen,Kendra,Dr,,,43,Lane,Crest Line,,Champaign,Illinois,487-40-2203,Argentina,sberzenf@wix.com,2172991270,5639634012,,aberzenf@tinyurl.com,,,,,,,,,,,,1983-01-29,CEN,ST,2015-08-28,2040-01-04,,,,,,,,,,,,Female,CgAHmemv,,,,,,,,,,,,,,,,,,,,,,,,,,
47377129,Pimley,Zorine,Rev,,,90,Lane,Anthes,,Milwaukee,Wisconsin,539-70-0617,Argentina,mpimleyg@reference.com,4146897563,2675617480,,mpimleyg@wufoo.com,,,,,,,,,,,,1995-07-07,CEN,ST,2015-08-28,2044-11-24,,,,,,,,,,,,Female,SETey6o2lxO,,,,,,,,,,,,,,,,,,,,,,,,,,
62584023,Bowler,Shel,Ms,,,7,Drive,Heffernan,,Springfield,Illinois,391-08-0369,Argentina,mbowlerh@vinaora.com,2172912723,7142604443,,mbowlerh@yelp.com,,,,,,,,,,,,1993-08-30,CEN,ST,2015-08-28,2045-09-14,,,,,,,,,,,,Female,lmWeoRDpJqG,,,,,,,,,,,,,,,,,,,,,,,,,,
46164503,Canada,Griffith,Mrs,,,41731,Avenue,Fallview,,El Paso,Texas,514-35-7734,Argentina,icanadai@umn.edu,9159276011,2142259558,,fcanadai@icio.us,,,,,,,,,,,,1972-04-22,CEN,ST,2015-08-28,2035-02-11,,,,,,,,,,,,Male,nfJVgvN1j,,,,,,,,,,,,,,,,,,,,,,,,,,
59695312,Keyte,Morganne,Honorable,,,49916,Pass,Lien,,Alexandria,Virginia,284-88-1749,Argentina,vkeytej@networkadvertising.org,2024360169,8171208759,,qkeytej@tinyurl.com,,,,,,,,,,,,1971-02-24,CEN,ST,2015-08-28,2047-10-18,,,,,,,,,,,,Female,mUlv2UEQVW0i,,,,,,,,,,,,,,,,,,,,,,,,,,
62654698,Rubel,Tanny,Honorable,,,104,Alley,Haas,,Silver Spring,Maryland,453-36-6600,Argentina,irubelk@army.mil,2025647145,3014651778,,arubelk@nhs.uk,,,,,,,,,,,,1981-02-21,CEN,ST,2015-08-28,2043-02-18,,,,,,,,,,,,Male,m5fpjSxhddYO,,,,,,,,,,,,,,,,,,,,,,,,,,
71541381,McCraine,Kahlil,Honorable,,,32962,Terrace,Moose,,Fresno,California,744-75-0856,Argentina,lmccrainel@yellowbook.com,5594392231,2567570749,,bmccrainel@moonfruit.com,,,,,,,,,,,,1986-11-10,CEN,ST,2015-08-28,2044-02-21,,,,,,,,,,,,Male,lxigunqGu5,,,,,,,,,,,,,,,,,,,,,,,,,,
67149776,Twinborough,Kendricks,Mrs,,,79780,Trail,Waxwing,,Kansas City,Missouri,642-12-2096,Argentina,vtwinboroughm@joomla.org,8164373442,2097585200,,ctwinboroughm@etsy.com,,,,,,,,,,,,1973-09-10,CEN,ST,2015-08-28,2033-11-12,,,,,,,,,,,,Male,g7Q90zqQIw,,,,,,,,,,,,,,,,,,,,,,,,,,
45263258,Crankshaw,Devland,Rev,,,6473,Court,Burning Wood,,Columbus,Mississippi,828-80-9301,Argentina,ccrankshawn@qq.com,6627980353,6126183278,,rcrankshawn@auda.org.au,,,,,,,,,,,,1998-05-13,CEN,ST,2015-08-28,2032-10-28,,,,,,,,,,,,Male,ynAMJOHr99,,,,,,,,,,,,,,,,,,,,,,,,,,
97941439,Searle,Melva,Honorable,,,84451,Hill,Artisan,,Richmond,Virginia,258-30-1257,Argentina,ssearleo@nba.com,8043008913,6153745318,,ksearleo@seattletimes.com,,,,,,,,,,,,1988-10-03,CEN,ST,2015-08-28,2036-10-03,,,,,,,,,,,,Female,Q3iVN0Jfd8,,,,,,,,,,,,,,,,,,,,,,,,,,
77626476,Spadotto,Gwenneth,Dr,,,3,Avenue,Monica,,Houston,Texas,636-85-2133,Argentina,rspadottop@unesco.org,7137257402,4808778499,,bspadottop@newsvine.com,,,,,,,,,,,,1983-05-07,CEN,ST,2015-08-28,2049-10-08,,,,,,,,,,,,Female,qlk4T34xaaOd,,,,,,,,,,,,,,,,,,,,,,,,,,
52001234,Vamplew,Willi,Dr,,,6,Pass,Northland,,Saint Louis,Missouri,656-82-5190,Argentina,mvamplewq@parallels.com,3148496314,8165368270,,avamplewq@nature.com,,,,,,,,,,,,1999-04-17,CEN,ST,2015-08-28,2030-11-08,,,,,,,,,,,,Female,69Wx7DwhAJ,,,,,,,,,,,,,,,,,,,,,,,,,,
32671825,Spriggs,Sinclair,Ms,,,7258,Way,North,,Alpharetta,Georgia,827-67-3864,Argentina,cspriggsr@list-manage.com,6783792635,7136642863,,hspriggsr@bloglovin.com,,,,,,,,,,,,1988-06-02,POST,ST,2015-08-28,2038-07-27,,,,,,,,,,,,Male,0ACYcb,,,,,,,,,,,,,,,,,,,,,,,,,,
10066637,Wellan,Naomi,Ms,,,9416,Plaza,Ramsey,,Wilkes Barre,Pennsylvania,856-05-2405,Argentina,rwellans@altervista.org,5701919019,3098273762,,qwellans@cloudflare.com,,,,,,,,,,,,1998-12-14,POST,ST,2015-08-28,2035-08-01,,,,,,,,,,,,Female,00BHLuoy,,,,,,,,,,,,,,,,,,,,,,,,,,
42145207,Josselsohn,Clarance,Ms,,,8,Park,Graedel,,Rockford,Illinois,393-15-6708,Argentina,mjosselsohnt@blogtalkradio.com,8156588211,4137521426,,hjosselsohnt@ox.ac.uk,,,,,,,,,,,,1990-12-12,POST,ST,2015-08-28,2045-05-07,,,,,,,,,,,,Male,YYidss,,,,,,,,,,,,,,,,,,,,,,,,,,
95187775,Caldecot,Athene,Honorable,,,4,Center,Hintze,,Portland,Oregon,627-61-2591,Argentina,jcaldecotu@github.com,5034105396,2162519830,,ccaldecotu@stumbleupon.com,,,,,,,,,,,,1987-07-16,POST,ST,2015-08-28,2039-01-03,,,,,,,,,,,,Female,O3pXltICkcrS,,,,,,,,,,,,,,,,,,,,,,,,,,
90796842,Merioth,Rosanna,Rev,,,67615,Circle,Buell,,Oklahoma City,Oklahoma,689-81-9449,Argentina,cmeriothv@cbslocal.com,4051303236,9146199841,,gmeriothv@addtoany.com,,,,,,,,,,,,1998-12-28,POST,ST,2015-08-28,2048-12-26,,,,,,,,,,,,Female,o5YcLyyXGv,,,,,,,,,,,,,,,,,,,,,,,,,,
10968364,Middlemist,Bogart,Honorable,,,4472,Terrace,Lakewood,,Wichita,Kansas,514-27-0453,Argentina,rmiddlemistw@patch.com,3164643034,7137773016,,mmiddlemistw@infoseek.co.jp,,,,,,,,,,,,1994-06-06,POST,ST,2015-08-28,2048-01-02,,,,,,,,,,,,Male,jOljCNz,,,,,,,,,,,,,,,,,,,,,,,,,,
78501911,Purbrick,Robyn,Ms,,,8,Way,Arrowood,,Berkeley,California,651-68-7818,Argentina,mpurbrickx@yolasite.com,5107385344,4121610461,,bpurbrickx@oakley.com,,,,,,,,,,,,1971-04-19,POST,ST,2015-08-28,2042-10-10,,,,,,,,,,,,Female,M606GOi3,,,,,,,,,,,,,,,,,,,,,,,,,,
27938276,Bronger,Georgie,Rev,,,0,Alley,International,,Glendale,California,819-91-5484,Argentina,abrongery@vistaprint.com,8188270389,2403490301,,dbrongery@qq.com,,,,,,,,,,,,1986-07-18,POST,ST,2015-08-28,2039-04-28,,,,,,,,,,,,Female,ArsET1elE,,,,,,,,,,,,,,,,,,,,,,,,,,
66790735,Bratcher,Dalis,Rev,,,98,Crossing,Gina,,Kansas City,Missouri,544-27-0078,Argentina,ibratcherz@cnbc.com,8165811808,7636872917,,ybratcherz@fema.gov,,,,,,,,,,,,1999-12-03,POST,ST,2015-08-28,2048-05-17,,,,,,,,,,,,Male,XQDBOyMb4lI3,,,,,,,,,,,,,,,,,,,,,,,,,,
78705894,Goodwyn,Deborah,Mrs,,,873,Park,Autumn Leaf,,Anaheim,California,722-96-9742,Argentina,ggoodwyn10@kickstarter.com,7141540343,3161635357,,ngoodwyn10@go.com,,,,,,,,,,,,1989-04-01,POST,ST,2015-08-28,2035-11-24,,,,,,,,,,,,Female,F4v9rn2f5YR,,,,,,,,,,,,,,,,,,,,,,,,,,
551066,Corran,Leilah,Mrs,,,142,Circle,Melby,,Tacoma,Washington,478-25-4213,Argentina,dcorran11@free.fr,2531555928,7706002863,,acorran11@ox.ac.uk,,,,,,,,,,,,1979-03-18,POST,ST,2015-08-28,2033-06-27,,,,,,,,,,,,Female,dfZd5gqel,,,,,,,,,,,,,,,,,,,,,,,,,,
36009240,Mapstone,Carlita,Dr,,,66917,Street,Center,,Omaha,Nebraska,625-06-8081,Argentina,hmapstone12@ft.com,4022309068,4121669640,,smapstone12@blogspot.com,,,,,,,,,,,,1984-09-29,POST,ST,2015-08-28,2047-12-02,,,,,,,,,,,,Female,wUsWCUN,,,,,,,,,,,,,,,,,,,,,,,,,,
65607040,Buckthorp,Packston,Dr,,,17,Terrace,Amoth,,Boston,Massachusetts,878-62-1092,Argentina,nbuckthorp13@yandex.ru,3188768970,7027592898,,cbuckthorp13@dell.com,,,,,,,,,,,,1981-08-03,POST,ST,2015-08-28,2046-05-09,,,,,,,,,,,,Male,t832mXnj,,,,,,,,,,,,,,,,,,,,,,,,,,
92084686,Scorey,Oswald,Honorable,,,6,Road,Trailsway,,Warren,Michigan,333-27-7324,Argentina,nscorey14@businessinsider.com,5865072731,7724589475,,nscorey14@opensource.org,,,,,,,,,,,,1998-08-08,POST,ST,2015-08-28,2045-09-07,,,,,,,,,,,,Male,mnTtg8XEgYNs,,,,,,,,,,,,,,,,,,,,,,,,,,
38003053,Govenlock,Happy,Honorable,,,2180,Avenue,Acker,,Houston,Texas,262-89-6133,Argentina,cgovenlock15@webnode.com,7136093402,6121223067,,jgovenlock15@comcast.net,,,,,,,,,,,,1984-10-23,POST,ST,2015-08-28,2042-06-14,,,,,,,,,,,,Female,dHyeWrYsBs9e,,,,,,,,,,,,,,,,,,,,,,,,,,
24125626,Rollo,Alfredo,Dr,,,1288,Trail,Nobel,,Akron,Ohio,450-04-8811,Argentina,krollo16@vinaora.com,3305517409,7277312124,,trollo16@go.com,,,,,,,,,,,,1974-05-11,POST,ST,2015-08-28,2041-10-10,,,,,,,,,,,,Male,C2tiNQ6,,,,,,,,,,,,,,,,,,,,,,,,,,
40984750,Linn,Rubia,Ms,,,75145,Alley,Truax,,Chicago,Illinois,730-49-3068,Argentina,plinn17@instagram.com,3127056574,7868100603,,alinn17@bravesites.com,,,,,,,,,,,,1991-05-21,POST,ST,2015-08-28,2044-09-21,,,,,,,,,,,,Female,gk2cAOmyd,,,,,,,,,,,,,,,,,,,,,,,,,,
82908934,Saby,Lucien,Rev,,,64,Lane,Novick,,Waco,Texas,673-59-9322,Argentina,gsaby18@mac.com,2544820927,3024508132,,wsaby18@dot.gov,,,,,,,,,,,,2000-06-25,POST,ST,2015-08-28,2041-06-11,,,,,,,,,,,,Male,BdvhTKm,,,,,,,,,,,,,,,,,,,,,,,,,,
97325468,Coling,Tomlin,Dr,,,1996,Alley,Hintze,,Atlanta,Georgia,646-03-7909,Argentina,tcoling19@rambler.ru,4041558503,5129668852,,icoling19@auda.org.au,,,,,,,,,,,,1982-05-18,CEN,ST,2015-08-28,2041-04-19,,,,,,,,,,,,Male,u3G4ut6PUng5,,,,,,,,,,,,,,,,,,,,,,,,,,
70542930,Emery,Gray,Mrs,,,48280,Trail,Kinsman,,Dallas,Texas,339-01-0161,Argentina,memery1a@squarespace.com,2142628145,3046836094,,nemery1a@ameblo.jp,,,,,,,,,,,,1992-10-05,POST,ST,2015-08-28,2037-10-22,,,,,,,,,,,,Male,wOOJdXSOn,,,,,,,,,,,,,,,,,,,,,,,,,,
28231606,Diviny,Kara,Dr,,,4,Park,Roth,,Stockton,California,637-77-0095,Argentina,ddiviny1b@w3.org,2098722776,9078363513,,ldiviny1b@about.me,,,,,,,,,,,,1976-09-20,POST,ST,2015-08-28,2047-05-02,,,,,,,,,,,,Female,pdlZySP8wC,,,,,,,,,,,,,,,,,,,,,,,,,,
36785529,Hehir,Valentine,Dr,,,925,Alley,Elka,,San Francisco,California,273-33-3724,Argentina,shehir1c@hostgator.com,4155783824,4805847850,,thehir1c@timesonline.co.uk,,,,,,,,,,,,1971-02-11,ARBCCAB,ST,2015-08-28,2037-08-04,,,,,,,,,,,,Male,J2K58qxp,,,,,,,,,,,,,,,,,,,,,,,,,,
48024224,Ogglebie,Mirna,Ms,,,870,Road,Marquette,,Cincinnati,Ohio,185-94-8417,Argentina,mogglebie1d@qq.com,5133483924,2033016634,,mogglebie1d@paypal.com,,,,,,,,,,,,1997-05-23,ARBCCAB,ST,2015-08-28,2042-06-06,,,,,,,,,,,,Female,JA6o8n,,,,,,,,,,,,,,,,,,,,,,,,,,
